CWRC_Tag,Orlando_Relation
hasMother,MOTHER
hasFather,FATHER
hasSister,SISTER
hasBrother,BROTHER
hasAunt,AUNT
hasUncle,UNCLE
hasGrandFather,GRANDFATHER
hasGrandMother,GRANDMOTHER
hasGrandDaughter,GRANDDAUGHTER
hasGrandSon,GRANDSON
hasNephew,NEPHEW
hasStepSister,STEPSISTER
hasStepBrother,STEPBROTHER
hasStepFather,STEPFATHER
hasStepMother,STEPMOTHER
hasCousin,COUSIN
hasAncestor,FOREBEAR
interpersonalRelationship,OTHER
hasSon,SON
hasDaughter,DAUGHTER
hasStepSon,STEPSON
hasStepDaughter,STEPDAUGHTER
hasGuardian,GUARDIAN
hasNiece,NIECE
hasHusband,HUSBAND
hasWife,WIFE
hasChild,CHILD
hasPartner,PARTNER
