"Library of Congress subject heading identifier",,"Library of Congress subject heading label",Variant 1,Variant 2,Variant 3,Variant 4,Variant 5,Variant 6,Variant 7,Variant 8,Variant 9,Variant 10,Variant 11,Variant 12,Variant 13,Variant 14,Variant 15,Variant 16,Variant 17,Variant 18,Variant 19
http://id.loc.gov/authorities/subjects/sh85000411,accounting,Accounting,keeping accounts,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85000691,acting,Acting,tableaux vivants,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85001086,advertising,Advertising,commercial art,commercial skills,marketing,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85001319,aeronautics,Aeronautics,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/childrensSubjects/sj96004706,african american folklore,African Americans--Folklore,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85001729,african languages,African languages,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/afr,afrikaans,Afrikaans,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh2002010219,agricultural management,Agricultural landscape management,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85002415,agriculture,Agriculture,crop production,highland farming,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85003425,algebra,Algebra,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh99002311,alphabet,Alphabet,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85004126,amateur theatricals,Amateur theatre,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85004336,american literature,American literature,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85004835,anatomy,Anatomy,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85068106,anglo lrish literature,Irish literature,irish nineteenth century writers and gothic fiction,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85005274,animal care,Animal welfare,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85005216,animal nutrition,Animal nutrition,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85005581,anthropology,Anthropology,anthopology,ethnology,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85005757,antiquarianism,Antiquities,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85006285,arab affairs,Arab countries--Politics and government,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/childrensSubjects/sj96004806,arabic,Arabic language,syrian,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/arc,aramaic,Aramaic; Aramäisch,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85006507,archaeology,Archaeology,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85006527,archery,Archery,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85006611,architecture,Architecture,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85007163,arithmetic,Arithmetic,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85007461,art,Art,graphic arts,mosaic art,perspective,plastic arts,print making,printing,significant form,china painting,appreciation of painting,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85007488,art history,Art--History,history of art,egyptian art,greek art,italian art,italian artists,roman art,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85008324,arts,Arts,lyricism,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85008893,astrology,Astrology,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85009003,astronomy,Astronomy,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85009153,athletics,Athletics,sport,sports,team sports,team games,tennis,boxing,football,basketball,field hockey,games,hockey,ice hockey,lacrosse,netball,rowing,rugby,skiing,mountain rescue,cricket
http://id.loc.gov/authorities/subjects/sh85011275,ballet,Ballet,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/bem,bemba,Bemba,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/ben,bengali,Bengali,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85013576,bible,Bible,bible study,the bible,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85013617,biblical criticism,"Bible--Criticism, interpretation, etc.",its commentators,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85014152,biography,Biography,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85014203,biology,Biology,genetics,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh91005631,black history,African diaspora,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85015705,bookbinding,Bookbinding,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85015733,bookkeeping,Bookkeeping,keeping accounts,keeping of accounts,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85015976,botany,Botany,study plants,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh94008942,braille,Braille,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85016753,breton,Breton Language,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85016973,british literature,British literature,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/bul,bulgarian,Bulgarian; Bulgarisch,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85018260,business,Business,business studies,commerce,entrepeneurship,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85018371,butter making,Butter,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85046328,exercise,Exercise,callisthenics,physical education,running,calisthenics,exercise,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85018955,calligraphy,Calligraphy,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85019388,canadian literature,Canadian literature,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85096148,outdoor recreation,Outdoor Recreation,canoeing,camping,fishing,fly fishing,sailing,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85010164,car mechanics,Automobile mechanics,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85020435,carpentry,Carpentry,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85039614,carriage driving,Driving of horse-drawn vehicles,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85020515,cartography,Cartography,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85020546,carving meat,"Carving (Meat, etc.)",,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh99001904,catechism,Catechisms,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85021043,catholicism,Catholic church,roman catholic religion,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85143658,cello,Cello,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85022986,chemistry,Chemistry,chimistry,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/chi,chinese,Chinese; Chinesisch,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85025219,christianity,Christianity,christian doctrine,different christian belief-systems,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85025619,church history,Church history,early history of the church,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85088084,cinema,Motion pictures,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85026301,civics,Civics,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/grc,classical greek,"Greek, Ancient (to 1453); Griechisch",,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85064872,classical indian culture,India--Civilization,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85026704,classical languages,Classical languages,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85026706,classical literature,Classical literature,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85026711,classical poetry,Classical poetry,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85026450,classical studies,"Civilization, Classical",classics,ancient languages,greek and roman history,ancient history,ancient civilization and culture,ancient and modern history,history of the ancient world,ancient celtic history,ancient,roman history,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85029027,communications,Communication,how to use a telegraph machine,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85077534,comparative literature,Comparative literature,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh89003285,computer science,Computer science,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85121304,conchology,Shells,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh2010008400,cookery,Cooking,cooking,cooking desserts,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85033167,cosmography,Cosmography,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85033421,counselling,Counseling,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85058715,handcrafts,Handcrafts,creative handiwork,crafts,wood carving,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/cze,czech,Czech; Tschechisch,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85035659,dance,Dance,danced,dancing,dancer,folkdancing,tap dancing,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/dan,danish,Danish; Dänisch,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85035735,danish literature,Danish literature,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/childrensSubjects/sj96005290,dante's divine comedy,"Dante Alighieri, 1265-1321. Divine comedy",,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh99005476,decoration,Decoration,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh99005313,deportment,Conduct of life,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85037197,design,Design,development of design,mosaic design,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85037693,dictation,Dictation (Educational method),,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85061673,domestic economy,Home economics,domestic science,domestic and household skills,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85039316,drama,Drama,dramatic literature,dramatic writing,elizabethan drama,greek drama,modern european drama,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85039408,drawing,Drawing,draw,drawing and the study of perspective,drawing the nude,sketching,model drawing,figure composition,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85039517,dressmaking,Dressmaking,dress making,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/dut,dutch,Dutch,flemish,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85040850,economics,Economics,political economy,irish economy,fiscal issues,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85041367,egyptology,Egyptology,ancient egyptian,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85041666,electrical engineering,Electrical engineering,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85042633,elocution,Elocution,debating,conversational skill,public speaking,recitation,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85042701,embroidery,Embroidery,embroidery in silks,embossed embroidery,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85043176,engineering,Engineering,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh96010368,english,English,english as a second language,english language,english prose and poetry,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85043556,english grammar,English language--Grammar,,,,,,,,,,,,,,,,,,,
