RDF Type,uri,Official Label,alt label #0,alt label #1,alt label #2,alt label #3,alt label #4,alt label #5,alt label #6,alt label #7,alt label #8,alt label #9,alt label #10,alt label #11,alt label #12
http://id.lincsproject.ca/identity/GeographicHeritage,http://vocab.getty.edu/tgn/7000198,India,India,Indian,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,http://vocab.getty.edu/tgn/7004550,West Indies,West Indian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,http://vocab.getty.edu/tgn/7017283,Glaswegians,Glaswegians,,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,http://vocab.getty.edu/tgn/7032932,East Africa,East Africa,,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,https://sws.geonames.org/11609047,Lancastrian,Lancastrian,Lancashire,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,https://sws.geonames.org/2186224,New Zealand,New Zealand,,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,https://sws.geonames.org/2510769,Spanish,Spanish,spain,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,https://sws.geonames.org/2634895,Wales,Wales,Welsh,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,https://sws.geonames.org/2635167,British,British,,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,https://sws.geonames.org/2638010,Shetland,Shetland,,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,https://sws.geonames.org/2638360,Scotland,Scotland,Scottish,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,https://sws.geonames.org/2641364,Northern Irish,Northern Irish,,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,https://sws.geonames.org/2652355,Cornish,Cornish,Cornwall,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,https://sws.geonames.org/2661886,Sweden,Sweden,Swedish,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,https://sws.geonames.org/2750405,Dutch,Dutch,,,,,,,,,,,,
