RDF Type,uri,Official Label,alt label #0,alt label #1,alt label #2,alt label #3,alt label #4,alt label #5,alt label #6,alt label #7,alt label #8,alt label #9,alt label #10,alt label #11,alt label #12,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/african-AmericanEthnicity,African-American,African-American,Afro-américain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/africanEthnicity,African,black African descent,Africain,African,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/anglo-IrishEthnicity,Anglo-Irish,Anglo-Irish,Anglo-irlandais,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/anglo-NormanEthnicity,Anglo-Norman,Anglo-Norman,Baronnage anglo-normand,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/arabEthnicity,Arab,Arab,Arabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/ashkenaziJewishEthnicity,Ashkenazi Jewish,Ashkenazim,Ashkenazim,or German Jewish,Ashkenazi Jewish,Juif ashkénaze,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/bengaliEthnicity,Bengali,Bengali,bengali,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/blackEthnicity,black,black,noir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/celticEthnicity,Celtic,Highland (that is Celtic),Celte,Celtic,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/chineseEthnicity,Chinese,Chinese,Chinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/creoleEthnicity,Creole,Creole,Créole,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/englishEthnicity,English,England,Anglais,English,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/europeanEthnicity,European,European,Européen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/gaelEthnicity,Gael,Gael,Gael,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/igboEthnicity,Igbo,Igbo,Igbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/indigenousPeoplesOfAmericasEthnicity,Indigenous (of the Americas),Amer-Indians,Indigenous (of the Americas),Indigenous/Amérindiens,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/irishEthnicity,Irish,irish ancestry,Irish,Irlandais,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/jamaicanEthnicity,Jamaican,Jamaican-born,Jamaican,Jamaïcains,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/jewishEthnicity,Jewish,Jew,Jewry,Jews,Judaism,a Jewish,one-quarter Jewish,Jewish,Juif,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/parsiEthnicity,Parsi,Parsi,Parsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/punjabiEthnicity,Punjabi,Pendjabis,Punjabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/romaniEthnicity,Romani,Roma,gipsy,gypsies,gypsy,Romani,rom,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/scottishEthnicity,Scottish,highlands,highland,Scottish,Écossais,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/sephardicJewishEthnicity,Sephardic Jewish,Juif séfarade,Sephardic Jewish,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/slavEthnicity,Slav,Slavic,Slav,Slave,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/thracianEthnicity,Thracian,Thracians,Thracian,thrace,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/wendishEthnicity,Wendish,Wends or Sorbs,Wende,Wendish,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/westIndianEthnicity,West Indian,West Indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Ethnicity,http://id.lincsproject.ca/identity/whiteEthnicity,white,blanc,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Gender,http://id.lincsproject.ca/identity/androgynous,androgynous,androgyne,androgynous,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Gender,http://id.lincsproject.ca/identity/blackWomanRaceColour,blackwoman,blackwoman,femme noire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Gender,http://id.lincsproject.ca/identity/cisGender,cisgender,cisgender,cisgenre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Gender,http://id.lincsproject.ca/identity/cisMan,cis man/cis male,cis man/cis male,homme cisgenre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Gender,http://id.lincsproject.ca/identity/cisWoman,cis woman/cis female,cis woman/cis female,femme cisgenre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Gender,http://id.lincsproject.ca/identity/genderQueer,genderqueer,nonconforming,genderqueer,queer,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Gender,http://id.lincsproject.ca/identity/man,man,male,homme,man,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Gender,http://id.lincsproject.ca/identity/transGender,transgender,transgendered,trans,transgender,transgenre,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Gender,http://id.lincsproject.ca/identity/transMan,trans man/trans male,transgendered female to male,homme trans,trans man/trans male,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Gender,http://id.lincsproject.ca/identity/transWoman,trans woman/trans female,transgendered male to female,femme trans,trans woman/trans female,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Gender,http://id.lincsproject.ca/identity/undefinedGender,undefined,genre indéterminé,undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Gender,http://id.lincsproject.ca/identity/woman,woman,female,femme,woman,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,http://id.lincsproject.ca/identity/englishGeographicHeritage,England,Angleterre,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,http://id.lincsproject.ca/identity/jewishGeographicHeritage,Jewish,Jewish,Juif,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,http://vocab.getty.edu/tgn/7000198,India,India,Indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,http://vocab.getty.edu/tgn/7004550,West Indies,West Indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,http://vocab.getty.edu/tgn/7017283,Glaswegians,Glaswegians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,http://vocab.getty.edu/tgn/7032932,East Africa,East Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,https://sws.geonames.org/11609047,Lancastrian,Lancastrian,Lancashire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
