Degree,http://id.lincsproject.ca/cwrc#lawDegree,law degree,law degree,degree in law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degree,http://id.lincsproject.ca/cwrc#postgraduateDegree,postgraduate degree,postgraduate degree in teaching,Agrégation,post-graduate degree in theatre,Postgraduate Diploma in Writing for the Stage,DSc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degree,http://id.lincsproject.ca/cwrc#secondarySchoolDiploma,secondary school diploma,Chancellor's Diploma,Higher School Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degree,http://id.lincsproject.ca/cwrc#ladyLiterateInArts,Lady Literate in the Arts,L.L.A. (Lady Literate in the Arts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degree,http://id.lincsproject.ca/cwrc#honoraryDegree,honorary degree,honorary Doctorate of Divinity,honorary MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degree,http://id.lincsproject.ca/cwrc#teachingQualification,teaching qualification,second class teaching certificate,Elementary School Teachers' Certificate,Diploma of Education,USA teaching certificate,"Teaching Certificate,, First Class",Elementary Teacher's Certificate,teaching certificate,diploma in education,Teacher's Diploma,Post-Graduate Certificate of Education,teacher's certificate,"Teaching Certificate, First Class",education diploma,Teaching Diploma,Certificate in the Theory and Practice of Teaching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degree,http://id.lincsproject.ca/cwrc#certificate,certificate,Higher National Certificate,certificate in the exam for women,certificate in social science,Postgraduate Certificate,certificate,Cambridge Certificate,"Postgraduate Certificate in Education, English as a Second Language",University Certificate,Higher Cambridge Certificate,"Certificat d'Études Françaises, 1er Degré",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degree,http://id.lincsproject.ca/cwrc#undergraduateDegree,undergraduate degree,Bachelor,degree,degree in advertising,BLitt,B. Litt.,two-year degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degree,http://id.lincsproject.ca/cwrc#bachelorOfArts,B.A.,BA in English with First Class Honours,AB degree,BA in modern history,Honours BA,Cambridge BA,BA degree,first-class honours BA,Bachelor of Arts,"BA honours, third class",first-class degree,first-class BA in English,Bachelor of Arts degree (at pass level only),Second Class Honours BA,BA Honours in English,BA Pass Degree,BA in PPE,Bachelor of Arts with honours in English,BA in history,BA in cultural anthropology,BA in Arts,BA in English Literature,double first Honours BA,Honours BA in English,first-class BA,degree with first-class honours,BA,2:2 BA,BA first-class Honours in English,Second Class honours degree,BA in English,first in her BA,BA in English and History,BA Honours degree,Honours BA in French,third-class honours,first class honours,BA in Drama and Theatre Arts,BA (Second Class Honours),"BA, Second Class, in English Language and Literature","Honours BA in Classics, First Class",BA in English Language and Literature,BA honours in History,Class Three BA,"BA in Classics, Class II",third-class degree (in history),BA Honours degree in English was a third class,Honours BA in Greats,BA (Honours),BA (Hons) in English Language and Literature,BA degee,"Honours BA, Second Class,",second-class honours,Honours BA degree,"BA honours, second class",Second Class degree
Degree,http://id.lincsproject.ca/cwrc#professionalDegree,professional degree,Doctor of Divinity degree,MB medical degree,MD,Master Mariner's Certificate,Doctor of Medicine,MD degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degree,http://id.lincsproject.ca/cwrc#bachelorOfScience,B.Sc.,B.Sc. (with honours),BSc in Physics,BSc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degree,http://id.lincsproject.ca/cwrc#diploma,diploma,Diploma in Social Work,diploma in school counselling,diploma in Psychopathology,Diploma,diploma in agriculture,diploma in literature,Diplome d'Etudes de Civilisation Française,diploma in journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degree,http://id.lincsproject.ca/cwrc#mastersDegree,master's degree,MA,MA (a first degree in Scotland),Masters Degree,MPhil in Medieval Literature,MA in English.,MA in psychology,Master's degree,MA in English literature,MA in Classics,MSc,master's degree in Public Health,MA in English,MLitt,MA in philosophy and literature,MA in Canadian Literature,MA degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degree,http://id.lincsproject.ca/cwrc#doctorOfPhilosophy,Ph.D.,PhD in Linguistics,Doctor of Philosophy,doctorate,PhD in Philosophy,DPhil,PhD,Ph.D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degree,http://id.lincsproject.ca/cwrc#medicalDegree,medical degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
