CWRC ID,URI,Primary Title,Alternative Title,Other Title,No Type Title,Orlando Record Identifier,Counts,Count_primary,Count_alternative,Count_other,Count_none,Count_all
000141f4-6230-4dda-aedb-37d3040da6c2,https://commons.cwrc.ca/orlando:000141f4-6230-4dda-aedb-37d3040da6c2,Yesterday's Woman: Domestic Realism in the English Novel,,,,10602,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
00017196-e5f8-49fe-b281-e758862e6807,https://commons.cwrc.ca/orlando:00017196-e5f8-49fe-b281-e758862e6807,Margaret of Anjou,"Margaret of Anjou. A Poem, in ten cantos",,,59266,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
00038b77-fb2c-4044-ab1d-80c710807c02,https://commons.cwrc.ca/orlando:00038b77-fb2c-4044-ab1d-80c710807c02,Austin Phelps: A Memoir,,,,40386,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
000478d3-09eb-456a-887f-fc8769e32433,https://commons.cwrc.ca/orlando:000478d3-09eb-456a-887f-fc8769e32433,An Autobiography,"Agatha Christie, An Autobiography, 1977",,,14019,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
0004e3f9-54a0-4cb0-9377-2a87db9bd813,https://commons.cwrc.ca/orlando:0004e3f9-54a0-4cb0-9377-2a87db9bd813,Chances and Changes,Chances and Changes. A Domestic Story,,,106249,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
0004f9ce-4dfd-4174-b92d-8754501f6934,https://commons.cwrc.ca/orlando:0004f9ce-4dfd-4174-b92d-8754501f6934,Extracts and Original Anecdotes for the Improvement of Youth,,,,104895,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
000639da-0ca9-47bf-b595-fd815d8e66c2,https://commons.cwrc.ca/orlando:000639da-0ca9-47bf-b595-fd815d8e66c2,Gospels of Anarchy,"Gospels of Anarchy, and Other Contemporary Studies",,,19679,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
000de501-8674-463a-801c-d45a39c49fa6,https://commons.cwrc.ca/orlando:000de501-8674-463a-801c-d45a39c49fa6,"Fitz-Edward; or, The Cambrians","Fitz-Edward; or, The Cambrians. A Novel. Interspersed with Pieces of Poetry",,,11057,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
00101e8d-2967-4992-84ed-509cec005fb9,https://commons.cwrc.ca/orlando:00101e8d-2967-4992-84ed-509cec005fb9,"A Catalogue of Books and Announcements of Methuen and Company, Publishers (1899)",,,,36356,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
001863c0-ef37-43e0-8d44-19e882787fdd,https://commons.cwrc.ca/orlando:001863c0-ef37-43e0-8d44-19e882787fdd,"When the Bough Breaks, and Other Stories",,,,105229,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
001acf65-9938-4198-b219-a303d432e75d,https://commons.cwrc.ca/orlando:001acf65-9938-4198-b219-a303d432e75d,Thomas Parnell's Poem 'To a Young Lady' as Addressed to Elizabeth Tollet,,,,3327,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
00257985-a2e5-4185-bc72-266294a56263,https://commons.cwrc.ca/orlando:00257985-a2e5-4185-bc72-266294a56263,Dark Gentleman,,,,103398,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
002c8b07-38c6-4c57-8807-69bca92fbb49,https://commons.cwrc.ca/orlando:002c8b07-38c6-4c57-8807-69bca92fbb49,Review of Naomi Mitchison's  Cloud Cuckoo Land,,,,4847,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
003058f2-d203-4249-8ff1-17d417f09840,https://commons.cwrc.ca/orlando:003058f2-d203-4249-8ff1-17d417f09840,,,,"'The Woman of Kronstadt,' By Max Pemberton and George Fleming, at the Garrick Theatre",,"{'all': 1, 'primary': 0, 'alternative': 0, 'none': 1, 'other': 0}",0,0,0,1,1
00312d8c-53ee-44ac-8ebf-ebb41a745a49,https://commons.cwrc.ca/orlando:00312d8c-53ee-44ac-8ebf-ebb41a745a49,Lady Mary Wroth,,,,67429,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
0035f5c3-8baa-429f-a6c2-e24f7e8bb108,https://commons.cwrc.ca/orlando:0035f5c3-8baa-429f-a6c2-e24f7e8bb108,Hiding Germany's Painful Past,,,,20351,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
0036509b-9463-475f-8e7d-907e1d2a8277,https://commons.cwrc.ca/orlando:0036509b-9463-475f-8e7d-907e1d2a8277,Scholar Gipsies,,,,63288,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
