ID,File,Project ID,Record Creation Date,Record Change Date,Person Type,Full Name,Preferred Name,Displayed Name,Family Name,Given Name,Terms of Address,Birth Name,Married Name,Indexed Name,Alternative Name,Pseudonym,Used Form,Nickname,Religious Name,Royal Name,Self Constructed Name,Styled Name,Titled Name,Orlando Standard Name,SameAs Wikidata,SameAs VIAF,SameAs Getty,Birth Date,Death Date,CWRC URI,Primary URI,Secondary URI
0000fbc1-6ce0-4cdd-a3ab-c5faa119209d,orlando_0000fbc1-6ce0-4cdd-a3ab-c5faa119209d,orlando,2020-09-03,2020-09-03,,Maurice Bell,Bell Maurice,,Bell,Maurice,,,,,,,Maurice Hugh Lowthian Bell,,,,,,,"Bell, Maurice",,,,,,https://commons.cwrc.ca/orlando:0000fbc1-6ce0-4cdd-a3ab-c5faa119209d,http://id.lincsproject.ca/Lw32TDTwIN4,
0001b2e3-c40c-41b6-b987-1e5bbd42fa46,orlando_0001b2e3-c40c-41b6-b987-1e5bbd42fa46,orlando,2020-09-04,2020-09-04,,Frank Pankhurst,Pankhurst Frank,,Pankhurst,Frank,,,,,,,Henry Francis Robert,,,,,,,"Pankhurst, Frank",,,,,,https://commons.cwrc.ca/orlando:0001b2e3-c40c-41b6-b987-1e5bbd42fa46,http://id.lincsproject.ca/6dr6DZdwrfd,
0001ccb0-b108-4b1f-a01b-9d5b789620c6,orlando_0001ccb0-b108-4b1f-a01b-9d5b789620c6,orlando,2020-09-04,2020-09-04,,Helen Scott,Scott Helen,,Scott,Helen,,,,,,,,,,,,,,"Scott, Helen",,,,,,https://commons.cwrc.ca/orlando:0001ccb0-b108-4b1f-a01b-9d5b789620c6,http://id.lincsproject.ca/bed6gKfUj0f,
0003f525-f3cc-452f-a4cc-e5056a69a30c,orlando_0003f525-f3cc-452f-a4cc-e5056a69a30c,orlando,2020-09-03,2020-09-03,,Sarah Clarke,Clarke Sarah,,Clarke,Sarah,,,,,,,,,,,,,,"Clarke, Sarah",,,,,,https://commons.cwrc.ca/orlando:0003f525-f3cc-452f-a4cc-e5056a69a30c,http://id.lincsproject.ca/iZywF74LOWy,
00040b2d-c8a1-4cb4-a1ad-2f6904eea66f,orlando_00040b2d-c8a1-4cb4-a1ad-2f6904eea66f,orlando,2020-09-04,2021-06-11,orl:BWW,Margaret Hoby,Hoby Margaret,,Hoby,Margaret,,Margaret Dakins,Margaret Hoby,Lady Margaret Hoby,,,,,,,,,"Margaret, Lady Hoby","Hoby, Margaret",http://www.wikidata.org/entity/Q6470399,,,1571-02-10,1633-09-06,https://commons.cwrc.ca/orlando:00040b2d-c8a1-4cb4-a1ad-2f6904eea66f,http://www.wikidata.org/entity/Q6470399,
00051fb8-130c-41e0-9187-68225ff7d992,orlando_00051fb8-130c-41e0-9187-68225ff7d992,orlando,2020-09-04,2020-09-04,,Ellen Moody,Moody Ellen,,Moody,Ellen,,,,,,,,,,,,,,"Moody, Ellen",,,,,,https://commons.cwrc.ca/orlando:00051fb8-130c-41e0-9187-68225ff7d992,http://id.lincsproject.ca/YDHuslHkuF3,
0005ee28-e559-4512-83c7-b5e8253cc137,orlando_0005ee28-e559-4512-83c7-b5e8253cc137,orlando,2020-09-04,2020-09-04,,Philippe Petit,Petit Philippe,,Petit,Philippe,,,,,,,,,,,,,,"Petit, Philippe",,,,,,https://commons.cwrc.ca/orlando:0005ee28-e559-4512-83c7-b5e8253cc137,http://id.lincsproject.ca/52t3mzuiJUO,
0006dcf5-d55f-4faa-8f80-b61b1197c64e,orlando_0006dcf5-d55f-4faa-8f80-b61b1197c64e,orlando,2020-09-04,2020-09-04,,Aritha Van Herk,Van Herk Aritha,,Van Herk,Aritha,,,,,,,,,,,,,,"Van Herk, Aritha",http://www.wikidata.org/entity/Q668511,,,,,https://commons.cwrc.ca/orlando:0006dcf5-d55f-4faa-8f80-b61b1197c64e,http://www.wikidata.org/entity/Q668511,
000a0939-25c6-4388-98a0-f8211d932921,orlando_000a0939-25c6-4388-98a0-f8211d932921,orlando,2020-09-03,2020-09-03,,Cyrus Cuneo,Cuneo Cyrus,,Cuneo,Cyrus,,,,,,,,,,,,,,"Cuneo, Cyrus",,,,,,https://commons.cwrc.ca/orlando:000a0939-25c6-4388-98a0-f8211d932921,http://id.lincsproject.ca/zjqc0LooBbd,
000a16cd-96e4-4b93-ba22-cfb6dbf4c9ed,orlando_000a16cd-96e4-4b93-ba22-cfb6dbf4c9ed,orlando,2020-09-03,2020-09-03,,Nancy Duin,Duin Nancy,,Duin,Nancy,,,,,,,,,,,,,,"Duin, Nancy",,,,,,https://commons.cwrc.ca/orlando:000a16cd-96e4-4b93-ba22-cfb6dbf4c9ed,http://id.lincsproject.ca/agx2ho0kSrM,
000c6be0-84e5-46e8-b01d-7585f1ca3cfc,orlando_000c6be0-84e5-46e8-b01d-7585f1ca3cfc,orlando,2020-09-03,2020-09-03,,William Strickland Cookson,Cookson William Strickland,,Cookson,William Strickland,,,,,,,,,,,,,,"Cookson, William Strickland",,,,,,https://commons.cwrc.ca/orlando:000c6be0-84e5-46e8-b01d-7585f1ca3cfc,http://id.lincsproject.ca/9Y1UcrGmH93,
000e5f11-581a-4c77-9e26-1234ba6d3a6c,orlando_000e5f11-581a-4c77-9e26-1234ba6d3a6c,orlando,2020-09-04,2020-09-04,,Mary Raftery,Raftery Mary,,Raftery,Mary,,,,,,,,,,,,,,"Raftery, Mary",,,,,,https://commons.cwrc.ca/orlando:000e5f11-581a-4c77-9e26-1234ba6d3a6c,http://id.lincsproject.ca/3xa4CpftsnG,
000e7203-fd8d-470b-a2c1-0d4eeb7d6170,orlando_000e7203-fd8d-470b-a2c1-0d4eeb7d6170,orlando,2020-09-04,2020-09-04,,Franz Hals,Hals Franz,,Hals,Franz,,,,,,,,,,,,,,"Hals, Franz",,,,,,https://commons.cwrc.ca/orlando:000e7203-fd8d-470b-a2c1-0d4eeb7d6170,http://id.lincsproject.ca/RvUTYt9UBEK,
000e9d01-0db3-44b7-97e5-e01c50246253,orlando_000e9d01-0db3-44b7-97e5-e01c50246253,orlando,2020-09-03,2020-09-03,,Greg Coulombe,Coulombe Greg,,Coulombe,Greg,,,,,,,,,,,,,,"Coulombe, Greg",,,,,,https://commons.cwrc.ca/orlando:000e9d01-0db3-44b7-97e5-e01c50246253,http://id.lincsproject.ca/AvWIuhcu7ft,
000ea057-24fd-4ece-aff7-1030c01eb153,orlando_000ea057-24fd-4ece-aff7-1030c01eb153,orlando,2020-09-03,2020-09-03,,"William Cavendish, third Ear; of Devonshire","William Cavendish, third Earl of Devonshire","William Cavendish, third Ear; of Devonshire",,,,,,,,,,,,,,,,"Devonshire, William Cavendish,,, third Earl of",,,,,,https://commons.cwrc.ca/orlando:000ea057-24fd-4ece-aff7-1030c01eb153,http://id.lincsproject.ca/wfuM1e70V1f,
