File,ID,Project ID,Record Creation Date,Record Change Date,Preferred Name,Displayed Name,Orlando Standard Name,SameAs Wikidata,SameAs VIAF,SameAs Getty,Alternate Name,Alternate Names,Historic Name,CWRC URI,Primary URI,Secondary URI
orlando_0002e97c-f9f6-41ac-bbf4-af2ab1e1f51c,0002e97c-f9f6-41ac-bbf4-af2ab1e1f51c,orlando,2020-09-02,2020-09-02,Fortune Press,,Fortune Press,,http://viaf.org/viaf/123241335,,,,,https://commons.cwrc.ca/orlando:0002e97c-f9f6-41ac-bbf4-af2ab1e1f51c,http://viaf.org/viaf/123241335,
orlando_0006809f-e29e-40d7-a227-56797246bbce,0006809f-e29e-40d7-a227-56797246bbce,orlando,2020-09-02,2020-09-02,Harlaw Academy,,Harlaw Academy,,http://viaf.org/viaf/232245910 | http://viaf.org/viaf/4107169929786869380000,,Aberdeen Girls' High School,,,https://commons.cwrc.ca/orlando:0006809f-e29e-40d7-a227-56797246bbce,http://viaf.org/viaf/232245910,
orlando_0008243a-9a92-4643-9ed0-d7f2ba38b6e7,0008243a-9a92-4643-9ed0-d7f2ba38b6e7,orlando,2020-09-03,2020-09-03,Socialist Party,,Socialist Party,,,,,,,https://commons.cwrc.ca/orlando:0008243a-9a92-4643-9ed0-d7f2ba38b6e7,https://commons.cwrc.ca/orlando:0008243a-9a92-4643-9ed0-d7f2ba38b6e7,
orlando_00115dd8-1044-4512-b840-08fd58b3dca9,00115dd8-1044-4512-b840-08fd58b3dca9,orlando,2020-09-03,2020-09-03,Wisbech Canners,,Wisbech Canners,,,,,,,https://commons.cwrc.ca/orlando:00115dd8-1044-4512-b840-08fd58b3dca9,https://commons.cwrc.ca/orlando:00115dd8-1044-4512-b840-08fd58b3dca9,
orlando_0020e114-21d5-44af-bbf2-f5ced4305f10,0020e114-21d5-44af-bbf2-f5ced4305f10,orlando,2020-09-02,2020-09-02,Fabian Research Department,,Fabian Research Department,,,,,,,https://commons.cwrc.ca/orlando:0020e114-21d5-44af-bbf2-f5ced4305f10,https://commons.cwrc.ca/orlando:0020e114-21d5-44af-bbf2-f5ced4305f10,
orlando_002571ee-cba2-47c4-81e3-cdb753f6f8ba,002571ee-cba2-47c4-81e3-cdb753f6f8ba,orlando,2020-09-03,2020-09-03,Seven Stories. The National Centre for Children's Books,,Seven Stories. The National Centre for Children's Books,,,,,,,https://commons.cwrc.ca/orlando:002571ee-cba2-47c4-81e3-cdb753f6f8ba,https://commons.cwrc.ca/orlando:002571ee-cba2-47c4-81e3-cdb753f6f8ba,
orlando_00263a96-318e-48b5-971b-eb142e9be5af,00263a96-318e-48b5-971b-eb142e9be5af,orlando,2020-09-02,2020-09-02,Goethe and Schiller Archives,,Goethe and Schiller Archives,,,,,,,https://commons.cwrc.ca/orlando:00263a96-318e-48b5-971b-eb142e9be5af,https://commons.cwrc.ca/orlando:00263a96-318e-48b5-971b-eb142e9be5af,
orlando_003611a9-e6dd-4f52-b367-e7f5239863a6,003611a9-e6dd-4f52-b367-e7f5239863a6,orlando,2020-09-03,2020-09-03,Talawa Theatre Company,,Talawa Theatre Company,,http://viaf.org/viaf/159703825,,,,,https://commons.cwrc.ca/orlando:003611a9-e6dd-4f52-b367-e7f5239863a6,http://viaf.org/viaf/159703825,
orlando_0036a13a-8f56-4eaf-89ab-abed5f100df6,0036a13a-8f56-4eaf-89ab-abed5f100df6,orlando,2020-09-03,2020-09-03,Ramanathan College for Girls,,Ramanathan College for Girls,,,,,,,https://commons.cwrc.ca/orlando:0036a13a-8f56-4eaf-89ab-abed5f100df6,https://commons.cwrc.ca/orlando:0036a13a-8f56-4eaf-89ab-abed5f100df6,
orlando_003bf333-da1c-4840-a40d-2a80a6cf56aa,003bf333-da1c-4840-a40d-2a80a6cf56aa,orlando,2020-09-02,2020-09-02,J. S. Ogilvie,,J. S. Ogilvie,,http://viaf.org/viaf/138762308 | http://viaf.org/viaf/3239150172662100180009,,,,,https://commons.cwrc.ca/orlando:003bf333-da1c-4840-a40d-2a80a6cf56aa,http://viaf.org/viaf/138762308,
