Label,External URI
"A. A. Knopf",http://viaf.org/viaf/142395924
"A. Barker",http://viaf.org/viaf/245463737
"A. C. Fifield",http://viaf.org/viaf/215146094150100330674
"A. Constable",http://viaf.org/viaf/156672148
"A. D. Innes",http://viaf.org/viaf/148132252
"A. Deutsch",http://viaf.org/viaf/132580591
"A. Dodd",http://viaf.org/viaf/71283786
"A. H. Bullen",http://viaf.org/viaf/311351897
"A. K. Newman",http://viaf.org/viaf/125936755
"A. L. Burt",http://viaf.org/viaf/136499357
"A. Maxwell",http://viaf.org/viaf/61431027
"A. Millar",http://viaf.org/viaf/15008766
"A. Strahan",http://viaf.org/viaf/132977294
"A. and C. Black",http://viaf.org/viaf/123220463
"AMS Press",http://viaf.org/viaf/175529333
"AMS",http://viaf.org/viaf/175529333
"Abacus",http://viaf.org/viaf/311382938
"Academy Chicago",http://viaf.org/viaf/139733654
"Ace Books",http://viaf.org/viaf/138487679
"Adam Matthew Publications",http://viaf.org/viaf/143444973
"Adam Matthew",http://viaf.org/viaf/143444973
"Adam and Charles Black",http://viaf.org/viaf/123220463
"Alan Sutton",http://viaf.org/viaf/160882254
"Alexander Strahan",http://viaf.org/viaf/40810077
"Alfred A. Knopf",http://viaf.org/viaf/142395924
"Alfred Knopf",http://viaf.org/viaf/142395924
"Allen Lane",http://viaf.org/viaf/156281760
"Allen and Unwin",http://viaf.org/viaf/141922044
"Allison and Busby",http://viaf.org/viaf/142082115
"Alston Rivers",http://viaf.org/viaf/9157222727884971473
"Amber Lane Press",http://viaf.org/viaf/833145857125022921545
"Anansi",http://viaf.org/viaf/268199074
"Anchor Books",http://viaf.org/viaf/105158669993527202417
"Anchor",http://viaf.org/viaf/105158669993527202417
"Andrew Dakers",http://viaf.org/viaf/60155767464927762653
"Andrew Melrose",http://viaf.org/viaf/47157340569609920294
"Andrew Millar",http://viaf.org/viaf/15008766
"Andrew Sowle",http://viaf.org/viaf/60342307
"Angus and Robertson",http://viaf.org/viaf/159379729
"Anthony Blond",http://viaf.org/viaf/2583646
"Anvil Press Poetry",http://viaf.org/viaf/157193471
"Arc Publications",http://viaf.org/viaf/62146095286600371861
"Archibald Constable",http://viaf.org/viaf/156672148
"Archon Books",http://viaf.org/viaf/315717862
"Arizona Center for Medieval and Renaissance Studies",http://viaf.org/viaf/133434477
"Arlen House",http://viaf.org/viaf/142299454
"Arno Press",http://viaf.org/viaf/144748692
"Arrow Books",http://viaf.org/viaf/311350485
"Arrowsmith",http://viaf.org/viaf/124255804
"Arthur Barker",http://viaf.org/viaf/245463737
"Ashgate",http://viaf.org/viaf/312738538
"Associated University Presses",http://viaf.org/viaf/311382888
"Atheneum",http://viaf.org/viaf/149378079
"Athlone Press",http://viaf.org/viaf/126853904
"B. Blackwell",http://viaf.org/viaf/312736099
"B. Crosby",http://viaf.org/viaf/6175149489110093810000
"B. Grasset",http://viaf.org/viaf/305290209
"B. H. Blackwell",http://viaf.org/viaf/312736099
"B. T. Batsford",http://viaf.org/viaf/130793280
"B. Tauchnitz",http://viaf.org/viaf/137725401
"BBC",http://viaf.org/viaf/127458402
"Baldwin and Cradock",http://viaf.org/viaf/155859348
"Baldwin, Cradock and Joy",http://viaf.org/viaf/158197537
"Bantam",http://viaf.org/viaf/311378962
"Barbin",http://viaf.org/viaf/2192145856864222920063
"Barnes and Noble",http://viaf.org/viaf/133686263
"Barrie and Jenkins",http://viaf.org/viaf/133830549
"Basic Books",http://viaf.org/viaf/169368934
"Batsford",http://viaf.org/viaf/130793280
"Beacon Press",http://viaf.org/viaf/132651880
"Belford, Clarke",http://viaf.org/viaf/134021014
"Belknap Press of Harvard University Press",http://viaf.org/viaf/302965116
"Bell and Daldy",http://viaf.org/viaf/156269465
"Bell and Sons",http://viaf.org/viaf/135166554
"Benjamin Blom",http://viaf.org/viaf/125844022
"Bentley",http://viaf.org/viaf/126230561
"Berg",http://viaf.org/viaf/296593421
