Title,URI
1900,https://commons.cwrc.ca/orlando:e9abf247-f8a7-4355-8fd7-2894f7401a38
23 Poems,https://commons.cwrc.ca/orlando:0f0067f7-aca9-4693-9aac-de8a77275702
4.48 Psychosis,https://commons.cwrc.ca/orlando:13eb7540-c57b-4e43-b68f-399827c97c5c
45 Mercy Street,https://commons.cwrc.ca/orlando:e8a6ed3f-06f2-4ed4-ad55-d62dc8ee7ef7
A & V at the V & A,https://commons.cwrc.ca/orlando:caa4ffad-d6c9-47ee-9abf-9c546d965500
A Backward Glance,https://commons.cwrc.ca/orlando:56b82f39-e339-49d5-9f32-5da2333feeb0
A Backward Place,https://commons.cwrc.ca/orlando:2e4911af-ac76-4eaf-a735-4d7a174769cd
A Bad Beginning,https://commons.cwrc.ca/orlando:986aeded-28e8-4db4-ba24-1938d83d4d1e
A Balcony,https://commons.cwrc.ca/orlando:bb9df073-575c-4a4d-a6ff-422282180dd6
A Bar-Lamb's Ballad Book,https://commons.cwrc.ca/orlando:ba61429f-a4e8-4ccd-8ba1-a7f532d6c3dc
A Bewitched Crossroad: An African Saga,https://commons.cwrc.ca/orlando:363918d6-8b85-4e1d-a735-ac537b8757e0
A Biographical Sketch of the Most Distinguished Writers of Ancient and Modern Times,https://commons.cwrc.ca/orlando:9c73dfe1-5cb2-4b0e-a5c1-ab7eae692adc
A Bird in the House,https://commons.cwrc.ca/orlando:bf5e2ab6-55b1-4d10-8c58-c4e16d62ec1d
A Bit of Singing and Dancing,https://commons.cwrc.ca/orlando:7e3b534a-865b-4437-8d06-1e1d4a0c8c30
A Blighted Life,https://commons.cwrc.ca/orlando:ee932b39-d878-4314-bf3d-386b7e8a5f4a
A Bohemian's Love Story,https://commons.cwrc.ca/orlando:6c098e05-d4e3-4b08-84e3-23a5a3577f9a
A Bold Stroke for a Husband,https://commons.cwrc.ca/orlando:304caafa-f8a7-4e83-ade3-71ae56feca9c
A Bonfire,https://commons.cwrc.ca/orlando:22ec3b13-05f7-42d6-b6cc-87c65a788d53
A Book of Dreams,https://commons.cwrc.ca/orlando:9181b868-1f64-494e-8d26-474c97b87fd1
A Book of Rhyme,https://commons.cwrc.ca/orlando:0cbf0dd1-c044-4fc3-911d-26872e212601
A Book of Saints and Wonders,https://commons.cwrc.ca/orlando:1866158d-8558-44b3-b7f5-7d469cc37907
A Book of Sibyls,https://commons.cwrc.ca/orlando:c6134ccf-c6f7-4883-80fa-8b2b66310155
A Book of the Running Brook: and of Still Waters,https://commons.cwrc.ca/orlando:95c43ebc-cdea-45a6-847e-6ad33dba08ff
A Bowl of Cherries,https://commons.cwrc.ca/orlando:eb32d1c2-dd79-4d80-a622-26e56f1dc2ae
A Brave Lady,https://commons.cwrc.ca/orlando:80811e7c-ef47-4712-8365-a3340adb5f0e
A Breathless Child,https://commons.cwrc.ca/orlando:c9bb8643-32f5-45bb-9d50-214d2de88c5d
A Bride and No Wife,https://commons.cwrc.ca/orlando:72fcee57-9fa5-4f71-a16f-6c52fc6a7c02
A Bride from the Sea,https://commons.cwrc.ca/orlando:277e6399-dc9d-429a-ada9-b007f07fe1bc
A Bride of the Plains,https://commons.cwrc.ca/orlando:0383d11f-79f5-48c0-aca9-edaf1ff56b02
A Bridge for Passing,https://commons.cwrc.ca/orlando:49ab92cb-1117-4201-b651-0e2d64247296
A Brief Discovery of the Work of the Enemy of Sion's Peace,https://commons.cwrc.ca/orlando:02e35092-5c20-43c1-b8ac-25ac903974cb
A Brief Summary in Plain Language of the Most Important Laws Concerning Women,https://commons.cwrc.ca/orlando:b5437282-66f8-4d6e-aa7e-c959fb9c0bb8
A Brief View of Greek Philosophy from the Age of Socrates to the Coming of Christ,https://commons.cwrc.ca/orlando:93dc9e93-10dc-4945-b3ad-a4aca159b91b
"A Bright Green Field, and Other Stories",https://commons.cwrc.ca/orlando:0609de65-309e-4969-bd85-476cea5762e2
A Broken Faith,https://commons.cwrc.ca/orlando:3b4e174f-041e-4850-bb1f-69e9e2d36fdb
A Bubble,https://commons.cwrc.ca/orlando:a4651baa-1eaa-4fa3-9d97-abd9420d3cc0
A Bunch of Shamrocks,https://commons.cwrc.ca/orlando:30e187b6-9b31-4a79-9bec-5560d8bcaa4a
A Burglary,https://commons.cwrc.ca/orlando:63a5d757-2c0b-4e02-bafe-3cb17d1e3c47
A Buried Sin,https://commons.cwrc.ca/orlando:c8c391f5-2421-434f-8e10-ce1353ab8faa
A Busy Day,https://commons.cwrc.ca/orlando:1bdcf239-145d-494c-8144-7a892303fcde
A Call to the Universall Seed of God,https://commons.cwrc.ca/orlando:f4abba6e-65e1-4b80-9484-c57b68d8d112
A Canadian Heroine,https://commons.cwrc.ca/orlando:e8285659-ea8d-4837-9548-eec53cd4c8e2
A Captive Lion,https://commons.cwrc.ca/orlando:9faf7f6c-0127-4ead-990d-27563518e4aa
A Case of Knives,https://commons.cwrc.ca/orlando:0870b509-fc50-4372-b5ed-788443d7eb70
A Casual Commentary,https://commons.cwrc.ca/orlando:a3bf580c-4b4b-4570-afc5-454be552af49
A Celebration of and for Frances Horovitz (1938-1983),https://commons.cwrc.ca/orlando:31a276a8-2768-4744-a368-6379ce87f88c
A Celibate Season,https://commons.cwrc.ca/orlando:c1a83a72-bab2-4369-b8a9-d429ae8ea95d
"A Century of Revolution, 1789-1920",https://commons.cwrc.ca/orlando:5af3510d-3608-475d-a9b3-94952dcb7673
A Certain Compass,https://commons.cwrc.ca/orlando:680ea2ad-b813-41ff-b75f-42cf4ea3ff04
A Certain Justice,https://commons.cwrc.ca/orlando:7a3c131d-95bf-4ed5-8184-3dafa4a6901e
A Change for the Better,https://commons.cwrc.ca/orlando:9e4492df-4bfc-4d7e-9923-0ffd92e95cee
A Change of Climate,https://commons.cwrc.ca/orlando:1476cfd7-f404-4bf8-b17b-a6a81b2de5c4
A Change of World,https://commons.cwrc.ca/orlando:a67a2300-18d3-44d8-91d0-e6d58ad430c8
A Chaplet for Charlotte Yonge,https://commons.cwrc.ca/orlando:dd80c9f3-ae7d-4f05-a0ea-7b54ea761010
A Chaplet of Verse for Children,https://commons.cwrc.ca/orlando:aeb16be7-e5a9-4998-8320-35a71aace3cb
A Chaplet of Verses,https://commons.cwrc.ca/orlando:0f492915-4c6a-440f-9ba4-609182ac99a4
A Charmed Circle,https://commons.cwrc.ca/orlando:971aab0f-e2c8-4845-bef1-896d39f6dbc1
A Charmed Life,https://commons.cwrc.ca/orlando:7bdd6574-8426-4365-96d3-a713534aac01
A Charming Fellow,https://commons.cwrc.ca/orlando:01cc4c09-c760-45b4-bc8c-a27284acab43
A Chat with Mrs. Chicky,https://commons.cwrc.ca/orlando:3559bb90-9f95-4669-9173-fa6072391c0b
A Cheap Bunch of Nice Flowers,https://commons.cwrc.ca/orlando:850bee90-7dd6-4644-914e-c54c58d8c6b5
A Child's Memories of Gad's Hill,https://commons.cwrc.ca/orlando:895b6946-7d0b-4575-b029-7fc1e91ff7d7
A Child's Rhyme Book,https://commons.cwrc.ca/orlando:6d63c51b-0b2b-4e35-93bf-c7f40b1715f5
A Christmas Carol,https://commons.cwrc.ca/orlando:cc0dfbf0-6205-4ad6-912f-f02db64005c7
"A Christmas-Box, for the Advocates of Bull Baiting",https://commons.cwrc.ca/orlando:496228a1-5e2a-4d40-bddd-0e4844bf620d
A City of Bells,https://commons.cwrc.ca/orlando:f46f62f2-2e26-4767-aa68-c1e1472415e0
"A Clean, Well-Lighted Place; A Private View of Sweden",https://commons.cwrc.ca/orlando:0b376674-9556-4d18-94c9-b46d0d806ee7
A Closed Eye,https://commons.cwrc.ca/orlando:49907600-7737-4b8e-996a-1476645ce6f3
A Cluster of Separate Sparks,https://commons.cwrc.ca/orlando:f6b5f310-eb07-4c18-be92-4af274dd52fc
A Coffeehouse Acquaintance,https://commons.cwrc.ca/orlando:3c7f92ba-f725-40bb-ae1a-9b101b5828c3
A Collection of Entertaining Histories and Novels,https://commons.cwrc.ca/orlando:0c9b0992-78c8-47b0-a44c-23f85979ed8f
A Collection of Meditations and Devotions,https://commons.cwrc.ca/orlando:9c348697-556c-4d1d-8ba2-6adda19e5805
A Collection of Poems and Fables,https://commons.cwrc.ca/orlando:a72f73e4-a093-4bcc-947b-c3c80331191c
A Comedy in Spasms,https://commons.cwrc.ca/orlando:44b65786-f247-4a55-b8ee-a91a713c74d0
A Communion of Sinners,https://commons.cwrc.ca/orlando:6c2f92b5-2fd6-4365-ac89-c3f55db85a21
"A Companion and Useful Guide to the Beauties in the Western Highlands of Scotland, and in the Hebrides",https://commons.cwrc.ca/orlando:ecdf12ee-e9c1-4888-bdfe-6dd667591bc6
A Companion to the Book of Common Prayer of the Church of England,https://commons.cwrc.ca/orlando:f926a6a3-0176-4197-bede-2a4d067e294e
"A Companion, and Useful Guide to the Beauties of Scotland, to the Lakes of Westmoreland, Cumberland, and Lancashire, and to the Curiosities in the District of Craven, in the West Riding of Yorkshire",https://commons.cwrc.ca/orlando:4648dadb-abd4-4e69-990f-1e1d95d11571
A Compass Error,https://commons.cwrc.ca/orlando:4651b18c-b12e-4d80-ada1-5e822e9ba1a7
A Compendious System of Astronomy,https://commons.cwrc.ca/orlando:11c26d40-6a4e-4b5d-93b8-7a5d978d9411
A Contrast,https://commons.cwrc.ca/orlando:ceab8f56-cf00-40bf-8d78-f826640f5a16
A Corn of Wheat,https://commons.cwrc.ca/orlando:ffac6bc8-6a89-460b-b246-d15d9b69b958
A Counsel of Perfection,https://commons.cwrc.ca/orlando:fbec15f1-a720-46a3-8374-62fbf22ed47b
A Country Calendar,https://commons.cwrc.ca/orlando:c46fc114-8baa-4a4e-9e40-e910d7073a43
A Country Doctor,https://commons.cwrc.ca/orlando:c15f6f66-4190-483b-a692-9aeb6ebfbad9
A Country Gentleman and His Family,https://commons.cwrc.ca/orlando:6e1ea839-d972-4e84-aa94-b93f65a636d3
A Course of Popular Lectures,https://commons.cwrc.ca/orlando:63ff41fd-5ca2-4d51-ab2a-21076bfcfeb5
A Cross at Kilbarrack,https://commons.cwrc.ca/orlando:d76f1396-48a0-4b9a-85e1-d3c71e613a95
A Curtain of Green and Other Stories,https://commons.cwrc.ca/orlando:4344ef29-2d7d-4bf9-b601-c042c4b2922c
A Dangerous Delight: Women and Power in the Church,https://commons.cwrc.ca/orlando:ba52bf3b-bce3-434d-97e3-0fc67589a4de
A Dark Night's Work,https://commons.cwrc.ca/orlando:65bba4a3-71c4-4a90-8e67-a8fd29128588
A Dark-Adapted Eye,https://commons.cwrc.ca/orlando:35351898-4806-4141-ad6a-e6c31b66a629
A Daughter of the Tropics,https://commons.cwrc.ca/orlando:33e1255d-8dc9-4720-8ece-63b49c48ab02
A Daughter of Today,https://commons.cwrc.ca/orlando:190fe8bc-b901-4e1c-b3d4-e4f46e4307cf
A Day in the Dark and Other Stories,https://commons.cwrc.ca/orlando:e8e5396e-72b5-4b1b-a38f-ad6e0202c2fd
A Day in the Life of a Smiling Woman,https://commons.cwrc.ca/orlando:40c6a7a0-5d05-4c9e-83fc-57570a0f60cc
A Declaration and an Information,https://commons.cwrc.ca/orlando:17710d36-7135-409d-a7fc-9a5fcfc685cb
"A Dedicated Man, and Other Stories",https://commons.cwrc.ca/orlando:872d7a4f-a49d-41da-9ffa-c428c651140d
A Defence of Idealism,https://commons.cwrc.ca/orlando:f2eaff52-ab51-4fa4-a9d1-f0db71c80557
A Defence of Men,https://commons.cwrc.ca/orlando:89f66046-3afe-4e2f-a18b-720ec1c4932d
"A Defence of the Essay of Human Understanding, Written by Mr. Lock",https://commons.cwrc.ca/orlando:39bc1063-2300-4bf6-89a7-7412f4689fbc
A Democrat Dies,https://commons.cwrc.ca/orlando:60ea000b-f335-48be-95fd-664e979438ff
A Demon in My View,https://commons.cwrc.ca/orlando:35105e54-e4e2-4217-b8f1-b3ea5f77194b
A Description of Bath,https://commons.cwrc.ca/orlando:eeda23b7-6e89-4854-9538-96bac1c7e257
A Descriptive Account of the Mansion and Gardens of White-Knights,https://commons.cwrc.ca/orlando:c671e2b8-4a30-4513-b9a1-5cc1061a64cb
A Devotional Diary,https://commons.cwrc.ca/orlando:6c93574f-3f42-487d-a0e9-28f2827d5dbe
A Devout Treatise upon the Pater Noster,https://commons.cwrc.ca/orlando:102039c1-9840-4cee-aee8-94c23eb95109
A Dialogue in the Devonshire Dialect,https://commons.cwrc.ca/orlando:9f66b87c-3b2e-4a50-b941-947d07542f5f
A Diary Without Dates,https://commons.cwrc.ca/orlando:0077f0ab-1a6d-4180-94d4-c46adab430d0
A Different Face,https://commons.cwrc.ca/orlando:d93793fd-aec2-4071-a3bf-b768b19ff563
"A Diligent Search amongst Rulers, Priests, Professors, and People",https://commons.cwrc.ca/orlando:a4df7757-b01a-4ab0-abf8-5dd84c3eceda
A Dinner of Herbs,https://commons.cwrc.ca/orlando:b00bf34c-eb01-4fe3-ab7d-fcd6b18c02e0
"A Discourse concerning ""A Guide in Controversies""",https://commons.cwrc.ca/orlando:2eb9142a-4bd3-4a8e-99db-f1857cda7d26
A Discourse Concerning the Love of God,https://commons.cwrc.ca/orlando:f7fa47e2-56d7-4947-8b2d-5edc5928f24d
A Discovery of New Worlds,https://commons.cwrc.ca/orlando:e4206747-974a-4b2f-b3de-32c6771c19e7
A Dispute between the Woman and the Powers of Darkness,https://commons.cwrc.ca/orlando:8be1b2be-74e4-4992-ac0c-a0bf4e6e7e1f
A Dog of Flanders,https://commons.cwrc.ca/orlando:de2512f3-05f3-477c-8f5d-89ff9764d3c4
A Domestic Experiment,https://commons.cwrc.ca/orlando:e04637f3-d30e-47b5-8e8d-0a5eb2c8b7a1
A Doubting Heart,https://commons.cwrc.ca/orlando:90944dce-64d4-4f0a-8ca3-d36494203042
A Dozen Lips,https://commons.cwrc.ca/orlando:bb99b200-b06e-4572-8d14-5177aabe89ca
A Draft of XXX Cantos,https://commons.cwrc.ca/orlando:265d4225-e2f7-45ad-8ddd-77c1c5522460
A Dream Observed and other Poems,https://commons.cwrc.ca/orlando:ae5053ca-d410-4570-a8db-7427b2be4706
A Dubious Legacy,https://commons.cwrc.ca/orlando:1e1b8921-f6ae-468d-aa8c-9d8303bc89ac
A Dull Day in London,https://commons.cwrc.ca/orlando:4938570c-458a-4a29-9db4-29331be70208
A Fair Country Maid,https://commons.cwrc.ca/orlando:523f7056-0bab-4f0b-b37e-32bbb9affb18
A Fair Way with the Dissenters,https://commons.cwrc.ca/orlando:0b1a8cbe-ded0-4178-9648-2e15885bf7d1
A Fairly Conventional Woman,https://commons.cwrc.ca/orlando:9d5920c6-ddd6-4fe6-88a8-5e65010eca19
A Fairly Honourable Defeat,https://commons.cwrc.ca/orlando:deb900ae-4efa-4ba6-b127-49655d19bec1
A Faithful Lover,https://commons.cwrc.ca/orlando:8d7ba5f6-bc1a-46e6-a5d4-6e9b19e4a532
A Family and a Fortune,https://commons.cwrc.ca/orlando:7b38f35e-6738-4912-966d-1cfdb31bc0e4
A Family Likeness and Other Stories,https://commons.cwrc.ca/orlando:b7ff80b7-616f-4aa7-b809-4a3b9e4715af
A Family Romance,https://commons.cwrc.ca/orlando:a833393c-06e5-426b-9b7e-e87f811a96ed
A Family Tour through the British Empire,https://commons.cwrc.ca/orlando:b37397e9-2a03-44b6-942e-f94b0eec2e74
A Far Cry from Kensington,https://commons.cwrc.ca/orlando:7ed04d62-c7f8-496d-bf8f-eee62785a444
"A Farewell, for Two Years, to England",https://commons.cwrc.ca/orlando:a3c67109-2711-4984-853e-20a122b2b6a5
A Farther Essay Relating to the Female-Sex,https://commons.cwrc.ca/orlando:806e68d9-8816-481c-85f6-456817fbba46
A Father and His Fate,https://commons.cwrc.ca/orlando:c29b24b9-ce42-4013-828f-8145e5a886fd
A Father as He Should Be,https://commons.cwrc.ca/orlando:ea7a00c3-5b36-4ae1-9552-ad0262da4ab7
"A Father of Women, and Other Poems",https://commons.cwrc.ca/orlando:ced2c48e-541a-48e7-af6e-bc66075ad53c
A Favourite of the Gods,https://commons.cwrc.ca/orlando:363a7acc-a34c-420e-933d-ee992d013fd8
A Few Days in Athens,https://commons.cwrc.ca/orlando:fe726a58-51a8-446c-9c0c-37a848ac5cfb
A Few Fair Days,https://commons.cwrc.ca/orlando:ec3a36ad-bcb3-4690-a876-cc64c843fea9
A Few Green Leaves,https://commons.cwrc.ca/orlando:df147b28-fa51-4dcb-9d27-f2dd871e54fb
"A Few Words on the Subject of the Slave Trade, addressed to English Women",https://commons.cwrc.ca/orlando:6edec58b-f3d3-408d-b354-9b581e7ba86a
A Few Words to the Jews,https://commons.cwrc.ca/orlando:0cc41d73-c1c9-458f-abea-a809772ca13f
A Field of Scarlet Poppies,https://commons.cwrc.ca/orlando:3f045dab-33fa-47e6-8f79-e836c9eb6180
A Final Burning of Boats,https://commons.cwrc.ca/orlando:a898922f-a6ab-4c2b-b43b-dc1061a6f4cd
A Five Year Sentence,https://commons.cwrc.ca/orlando:8e9df539-173a-412a-9f5c-6425194f32a0
A Flame in Your Heart,https://commons.cwrc.ca/orlando:2858a273-6c2a-441f-b188-71089354092c
A Flat Iron for a Farthing,https://commons.cwrc.ca/orlando:d659d6f1-2948-4b6e-bdbb-c3fafdeb0100
A Florence Diary,https://commons.cwrc.ca/orlando:c8a2ac11-3d36-4a75-8654-118523d4c948
A Flying Fish Whispered,https://commons.cwrc.ca/orlando:7b84c00e-dacb-4e34-a7e7-57bb36954b61
A Fool's Hell,https://commons.cwrc.ca/orlando:60b27cac-4d72-437e-aaf2-603228c8ddf4
"A Forecast, a Fable",https://commons.cwrc.ca/orlando:0227df9a-344a-414f-94d5-3297ce5924f3
A Fountain of Gardens,https://commons.cwrc.ca/orlando:a42d0ebe-3160-4c22-92d1-c2d804481f78
A Friend from England,https://commons.cwrc.ca/orlando:030c13ac-0e74-448f-b8c8-316f8abb5459
A Friendly Address to Converts from the Roman Catholic Church,https://commons.cwrc.ca/orlando:efda4507-0be8-4b8b-9816-9adb82a40952
A Fugue in Time,https://commons.cwrc.ca/orlando:cee6cd94-b8a2-41c9-9902-04716ae4830d
A Full and Clear Account the Scripture gives of the Deity,https://commons.cwrc.ca/orlando:59a9c4e9-6f08-4f98-afed-a03483d57f21
A Gallery of Scottish Women,https://commons.cwrc.ca/orlando:a8f93bc9-c777-4c5f-b952-45a7f9c43986
A Game of Hide-and-Seek,https://commons.cwrc.ca/orlando:265f5ebb-83d9-4cc5-9bf6-ad06cb389946
A Garden Diary,https://commons.cwrc.ca/orlando:6d799c5e-025a-4747-8f38-53386e70a0f1
A Garden of Memories. Mrs. Austin. Lizzie's Bargain,https://commons.cwrc.ca/orlando:6417e8bf-5d2f-449b-a1ea-500632f446be
A Garland of Seven Lilies,https://commons.cwrc.ca/orlando:b5cac66a-ce91-434d-966e-a1de734483b6
A Girl in the Karpathians,https://commons.cwrc.ca/orlando:db101bfc-4e7c-45cc-b830-d4e3cc0c4fc3
A Girl in Winter,https://commons.cwrc.ca/orlando:489310b6-b94b-4c22-a73e-4941d872da9e
A Glass for Kings,https://commons.cwrc.ca/orlando:79572fe0-7c20-4b8c-936d-8340db262faf
A God in Every Stone,https://commons.cwrc.ca/orlando:a6b75e8c-751d-4a95-9e93-4169e06d4c6b
A Golden Sorrow,https://commons.cwrc.ca/orlando:ff523de5-f20b-42f5-9f7a-474e184a0810
A Good Man is Hard to Find,https://commons.cwrc.ca/orlando:d13480af-c38f-4c97-86e6-b1047c17e327
A Good Time Was Had by All,https://commons.cwrc.ca/orlando:074a9514-1f2b-4fd1-9167-427565437d73
A Gossip's Story,https://commons.cwrc.ca/orlando:34576236-9016-4e49-abdf-24346b5dbbde
A Grammar of Metaphor,https://commons.cwrc.ca/orlando:1b1714c9-1c5f-4ba1-b6f1-be49399276d0
"A Great Emergency, and Other Tales",https://commons.cwrc.ca/orlando:65f89332-d8d3-4d8a-a191-b94857ea4ee4
A Guest of Honour,https://commons.cwrc.ca/orlando:4c10516b-05f5-458f-9be5-54dd579a6d61
A Guide to Public Lending Right,https://commons.cwrc.ca/orlando:eb44eb88-ade4-4dd4-98b5-da1b5f5421f1
A Guilty Thing Surprised,https://commons.cwrc.ca/orlando:ba0b499c-cdd9-44df-a8f3-d7809816af34
