Orlando Tag,Predicate Type,Attribute Type,Attribute Value,Include Empty Attribute,Domain Type,Range Type,Context Type,Specific Property,Generic Property,Function Type,Custom Instructions,Questions,Key
PADVERTISING,Descriptive,,,,Work ELSE Entry Subject,String,PublishingContext,c_hasAdvertising,c_hasPublicationFeatures,Standard,,,PADVERTISINGDescriptive
PADVERTISING,Embedded Entities,,,,Work ELSE Entry Subject,All Named Entities,PublishingContext,c_hasAdvertisingRelationTo,c_hasPublicationFeatures,Standard,,,PADVERTISINGEmbedded Entities
PANTHOLOGIZATION,Descriptive,,,,Entry Subject,String,PublishingContext,c_hasAnthologization,c_hasPublicationMode,Standard,,,PANTHOLOGIZATIONDescriptive
PANTHOLOGIZATION,Embedded Entities,,,,Entry Subject,All Named Entities,PublishingContext,c_hasAnthologizationRelationTo,c_hasPublicationMode,Standard,,,PANTHOLOGIZATIONEmbedded Entities
PARCHIVALLOCATION,Descriptive,,,,Work ELSE Entry Subject,String,TextualHistoryContext,c_hasArchivalLocation,c_hasTextualHistoryRelationTo,Standard,,,
PARCHIVALLOCATION,Embedded Entities,,,,Work ELSE Entry Subject,All Named Entities,TextualHistoryContext,c_relatesViaArchiveTo,c_hasTextualHistoryRelationTo,Standard,,,
PATTITUDES,Descriptive,,,,Entry Subject,String,WritingConditionsContext,c_hasAttitudeTowardsWritingOrGender,c_hasWritingRelationTo,Standard,,,PATTITUDESDescriptive
PAUTHORSHIP,Attributes,,,,,All Named Entities,PublishingContext,c_hasAuthorshipRelationTo,c_hasProductionRelationTo,Custom,,,PAUTHORSHIPAttributes
PAUTHORSHIP,Embedded Entities,,,,Work ELSE Entry Subject,All Named Entities,PublishingContext,c_hasAuthorshipRelationTo,c_hasProductionRelationTo,Standard,,,PAUTHORSHIPEmbedded Entities
PCIRCULATION,Descriptive,,,,Work ELSE Entry Subject,String,PublishingContext,c_hasCirculation,c_hasPublicationFeatures,Standard,,,PCIRCULATIONDescriptive
PCONTRACT,Descriptive,,,,Work ELSE Entry Subject,String,PublishingContext,c_hasContract,c_hasPublicationEconomics,Standard,,,PCONTRACTDescriptive
PCONTRACT,Embedded Entities,,,,Work ELSE Entry Subject,All Named Entities,PublishingContext,c_hasContractRelationTo,c_hasPublicationEconomics,Standard,,,PCONTRACTEmbedded Entities
PCOPYRIGHT,Descriptive,,,,Work ELSE Entry Subject,String,PublishingContext,c_hasCopyright,c_hasPublicationEconomics,Standard,,,PCOPYRIGHTDescriptive
PCOPYRIGHT,Embedded Entities,,,,Work ELSE Entry Subject,All Named Entities,PublishingContext,c_hasCopyrightRelationTo,c_hasPublicationEconomics,Standard,,,PCOPYRIGHTEmbedded Entities
PDEDICATION,Descriptive,,,,Work ELSE Entry Subject,String,PublishingContext,c_hasDedication,c_hasProductionRelationTo,Standard,,,PDEDICATIONDescriptive
PDEDICATION,Embedded Entities,,,,Work ELSE Entry Subject,All Named Entities,PublishingContext,c_hasDedicationRelationTo,c_hasProductionRelationTo,Standard,,,PDEDICATIONEmbedded Entities
PEARNINGS,Descriptive,,,,Work ELSE Entry Subject,String,PublishingContext,c_hasEarnings,c_hasPublicationEconomics,Standard,,,PEARNINGSDescriptive
PEDITIONS,Descriptive,,,,Entry Subject,String,PublishingContext,c_hasEdition,c_hasPublicationMode,Standard,,,PEDITIONSDescriptive
PEDITIONS,Embedded Entities,,,,Entry Subject,All Named Entities,PublishingContext,c_hasEditionRelationTo,c_hasPublicationMode,Standard,,,PEDITIONSEmbedded Entities
PFIRSTLITERARYACTIVITY,Descriptive,,,,Entry Subject,String,PublishingContext,c_hasFirstLiteraryActivity,c_hasWritingRelationTo,Standard,,,PFIRSTLITERARYACTIVITYDescriptive
